section_name,section_content
Use Of Collected Information,"Under federal law we may not use our system to collect personally identifiable information about you without your consent except to obtain information necessary to provide you with services and/or to help us detect unauthorized reception of communications over the our system. For example, when you interact with certain Sparklight services the system may automatically collect certain information on your use of that service. Most of this information is not personally identifiable and such information is generally used to carry out your particular request. This may include your choice of designated channel menu selections or service offerings such as On Demand or pay per view programming. These selections may be linked to your personally identifiable information already stored on our system so we can confirm your entry or transaction and/or confirm proper billing for the selection. We use the information we collect to make sure you receive the services you subscribe to; to send your bills and credit you for payments; to send you program or service listings, new product or service offerings, special announcements and other information we think you may want; to provide and enhance our services; to respond promptly to your questions, complaints and requests for changes in service; for our own tax and accounting purposes; to help anticipate, identify and resolve any service or maintenance problems; to protect the security of our equipment and services; to ensure compliance with applicable laws and compliance with applicable subscriber agreements, policies and terms of service; and to prevent the unauthorized reception of service. We may also collect and use aggregate non-personal information about our subscribers. This information does not identify individual subscribers. We may combine this aggregate data with our subscriber records. Among other things aggregate nonpersonal information is used to help refine our programming offerings and tailor marketing messages to particular interests."
Changes To Our Privacy Notice,"We may modify or update our services from time to time and if necessary, the provisions of this Privacy Notice. We will provide notice to subscribers of changes to our privacy provisions. If you do not agree with the changes, you have a right to cancel the services you subscribe to. If you continue to use our services following notice of privacy changes such usage will constitute your acceptance of and consent to the changes."
Length Of Information Retention,We will maintain personally identifiable information about you only so long as it is necessary for the purpose for which it was collected or to comply with laws governing our business. This period of time extends for up to ten years after termination of service so we may maintain legally required tax and accounting documentation and/or information consistent with our record retention practices. When no longer needed such information will be destroyed unless there are legitimate pending requests for access to such information.
900 Billing Disputes,You have 60 days from the date of your bill to dispute a 900 toll call billing error. You have the right to withhold payment of the disputed 900 toll call charges during the billing error review. No collection activity for disputed 900 toll call charges will occur while the billing error is under investigation. Failure to pay legitimate 900 toll call charges may result in involuntary blocking of your access to 900 toll services. Voluntary blocking of access to 900 toll services is available upon request from your local business office.
Billing Procedures,"Billing Cycle: Invoices for customers are generated each month and are due in advance. The day that an invoice is generated establishes the first day of the billing cycle for that account. Invoices are normally generated and then posted online immediately or mailed to the customer within two days. Because different systems may use several different billing cycles, the first day of your billing cycle could be the 1st of the month or the 28th of the month or something in between. Usage charges such as phone service charges for international calls and directory assistance are billed after use. Your Monthly Statement: Your monthly statement is generated by our billing service. When you receive your statement, we recommend that you examine it carefully. The last date for which payments were posted is shown on the bill. Any payment received after that date will be reflected in your next billing statement. The balance (less any payments you made which are not yet posted) must be paid by the date indicated to avoid late fees or collection activity. Sparklight is not responsible for payments mailed but not received on or before the due date. If you mail your payment, please allow seven business days for it to be posted to your account. Bill Payments: Sparklight offers many different methods of bill payment including online, mail, automated phone system and retail locations. Sparklight also offers Auto Pay for automatic monthly payments. Sparklight no longer accepts payments at the local office. Payments made with a customer service representative over the phone will incur a $10 fee. To avoid that fee use automated payment options. If you have questions or disputes, contact Sparklight within 60 days of the Due By date at 1-855-425-6161. Late Fees: Late fees may be assessed in accordance with applicable laws. Additional terms apply based on location. Disconnect/Downgrade Policy: Services may be disconnected or downgraded at any time, however no refunds are issued for partial billing periods and equipment must be returned. Reconnect/Reactivation Fee: Past due balances and fees must be paid before service is restored. Disruption of Service: Credits may be issued for qualifying outages of 6+ hours if requested within 60 days. Billing Disputes: Contact customer service within 60 days for disputes. Subscriber Notices: Notices may be delivered via bill, website, email, or other communication methods."
Your Rights Under Federal Law,"If you believe that we have collected, used or disclosed personally identifiable information about you in any way that violates federal limitations, you have the right to bring suit in a federal district court."
Installation & Service Maintenance Policies,"Installation: For scheduling installations or maintenance, please contact the local office. The account holder must sign for equipment and agreements and must be present or authorize another adult. Sparklight may require credit approval or deposit. Products and Services Offered: Customers may add or modify services including video, internet and phone. Current packages are available at www.sparklight.com/ratecard. Moving: Contact customer service to transfer or disconnect service. Equipment must be returned within 7 days. Service Calls: Technicians are dispatched as needed; fees may apply for customer-caused issues. Access to Customer Premises: You agree to allow access for installation and maintenance. Buried Drops: Lines may be temporarily placed above ground and buried within 6–8 weeks. Digging: Call 811 before digging to locate lines. Equipment: All equipment remains property of Sparklight and must be returned or charges apply."
Intro – Phone Annual Notice,"The Federal Communications Commission (FCC) requires Sparklight to provide certain information annually. Information may change. Commercial or bulk accounts may have different policies. 'Sparklight' refers to Cable One, Inc. and affiliates. This document is a summary and does not include all terms. Full terms are available at https://www.sparklight.com/legal/. Rates and channel lineups are available at https://www.sparklight.com/ratecard and https://www.sparklight.com/channel-lineup. For questions call 1-855-425-6161."
Intro – Residential TV,"The Federal Communications Commission (FCC) requires Sparklight to provide certain information annually. Information may change. Commercial or bulk accounts may have different policies. 'Sparklight' refers to Cable One, Inc. and affiliates. This document is a summary and does not include all terms. Full terms are available at https://www.sparklight.com/legal/. Rates and channel lineups are available at https://www.sparklight.com/ratecard and https://www.sparklight.com/channel-lineup. For questions call 1-855-425-6161."
Collection Of Personally Identifiable Information,"We collect personally identifiable information in connection with providing services, including name, address, phone number, service data, billing data including credit or bank account information, service usage, device information, and customer interactions. We may collect data through websites, surveys, and third-party platforms. We may also collect technical data and operate security systems to protect services. Phone service usage data may also be collected."
Disclosure Of Personally Identifiable Information,"We may disclose personally identifiable information with consent, as necessary to provide services, or as required by law. This may include sharing with employees, vendors, service providers, legal entities, and government authorities. Disclosures may occur regularly as needed. Customers may limit name and address disclosures. Information may also be disclosed in emergencies, legal proceedings, or to protect rights and property."
Right To Review Personally Identifiable Information,You may inspect personally identifiable information by submitting a written request. We may require time to prepare records and may request identification. You may request corrections if information is inaccurate.
